时间,类型,价格,数量,费用
2022-12-15,%!s(common.Action=1),32.51,1.00,0.01
2022-12-16,%!s(common.Action=1),32.59,1.00,0.01
2022-12-19,%!s(common.Action=1),32.54,1.00,0.01
2022-12-20,%!s(common.Action=1),31.59,1.00,0.01
2022-12-20,%!s(common.Action=0),31.59,1.00,0.01
2022-12-21,%!s(common.Action=0),32.00,1.00,0.01
2022-12-22,%!s(common.Action=0),32.54,1.00,0.01
2022-12-23,%!s(common.Action=0),32.44,1.00,0.01
2022-12-26,%!s(common.Action=0),32.18,1.00,0.01
2022-12-27,%!s(common.Action=0),32.62,1.00,0.01
2022-12-28,%!s(common.Action=0),32.87,1.00,0.01
2022-12-29,%!s(common.Action=0),32.94,1.00,0.01
2022-12-30,%!s(common.Action=1),33.48,1.00,0.01
